university,URLs,paths,read
Presidency University,https://www.presiuniv.ac.in/web/Math-PG-Syllabus.pdf,C:/Users/User/Desktop/uni selection/scraped_data/Presidency University/url3.csv,NO
Presidency University,https://www.presiuniv.ac.in/web/syllabus/EnglishNewMAdetailedsyllabus.pdf,C:/Users/User/Desktop/uni selection/scraped_data/Presidency University/url4.csv,NO
Presidency University,https://presiuniv.ac.in/web/history_syllabus.php,C:/Users/User/Desktop/uni selection/scraped_data/Presidency University/url5.csv,NO
Presidency University,https://www.presiuniv.ac.in/web/PG_newsyllabus.pdf,C:/Users/User/Desktop/uni selection/scraped_data/Presidency University/url6.csv,NO
Presidency University,https://www.presiuniv.ac.in/web/geography.php,C:/Users/User/Desktop/uni selection/scraped_data/Presidency University/url7.csv,NO
Presidency University,https://www.presiuniv.ac.in/web/cbcssyllabus.php,C:/Users/User/Desktop/uni selection/scraped_data/Presidency University/url8.csv,NO
Presidency University,https://presiuniv.ac.in/web/syllabus/pg_polsc.pdf,C:/Users/User/Desktop/uni selection/scraped_data/Presidency University/url9.csv,NO
Rabindra Bharati University,https://www.rbudde.in/syllabus.php,C:/Users/User/Desktop/uni selection/scraped_data/Rabindra Bharati University/url1.csv,NO
Rabindra Bharati University,https://www.indiastudycenter.com/Other/Syllabus/WB/RBU/PG/default.asp,C:/Users/User/Desktop/uni selection/scraped_data/Rabindra Bharati University/url2.csv,YES
Rabindra Bharati University,https://www.collegeadmission.in/Universities/India/statewise/WestBengal/Rabindra_Bharati_University/Notice2015/PG/ma_his_syllabus_2015.shtml,C:/Users/User/Desktop/uni selection/scraped_data/Rabindra Bharati University/url3.csv,YES
Rabindra Bharati University,https://examstime.in/rabindra-bharati-university-courses-and-syllabus/,C:/Users/User/Desktop/uni selection/scraped_data/Rabindra Bharati University/url4.csv,YES
Rabindra Bharati University,https://management.ind.in/forum/rabindra-bharati-university-english-ma-syllabus-168284.html,C:/Users/User/Desktop/uni selection/scraped_data/Rabindra Bharati University/url5.csv,YES
Rabindra Bharati University,https://management.ind.in/forum/rabindra-bharati-university-syllabus-ma-english-130475.html,C:/Users/User/Desktop/uni selection/scraped_data/Rabindra Bharati University/url6.csv,YES
Rabindra Bharati University,https://management.ind.in/forum/syllabus-m-english-rabindra-bharati-university-149154.html,C:/Users/User/Desktop/uni selection/scraped_data/Rabindra Bharati University/url7.csv,YES
Rabindra Bharati University,https://management.ind.in/forum/rabindra-bharati-university-distance-education-ma-bengali-syllabus-142185.html,C:/Users/User/Desktop/uni selection/scraped_data/Rabindra Bharati University/url8.csv,NO
